Text;fraud_value;type
Swish: Vi har noterat en misstänkt betalning på 4500 kr. Klicka här för att avbryta: swish-sakerhet.com/avbryt;1;SMS
Ville du fika idag?;0;SMS
vad gör du för något?;0;SMS
Hej pappa, min telefon gick sönder. Detta är mitt nya nummer. Kan du swisha mig för en ny telefon? Det är kris.;1;SMS
Hej mamma, min telefon gick sönder. Detta är mitt nya nummer. Kan du swisha mig för en ny telefon? Det är kris.;1;SMS
Hej broshan, min telefon gick sönder. Detta är mitt nya nummer. Kan du swisha mig för en ny telefon? Det är kris.;1;SMS
BankID: Ditt BankID går ut om 24 timmar. Förnya omedelbart via denna länk för att undvika spärr: säkra-bakid.se;1;SMS
Din leverans från PostNord kunde inte levereras då porto saknas betala 29kr här: post-nord-levereras.nu;1;SMS
Varning från Säkerhetsavdelningen: Någon försöker logga in på ditt konto från en ny enhet. Verifiera dig här: lank.se;1;SMS
Kronofogden söker dig för en obetald skuld. Se ditt ärende här: kfm-skuld.info/login;1;SMS
Hej! Vad ska vi äta till middag ikväll?;0;SMS
Din verifieringskod är 8842. Ge den inte till någon.;0;SMS
Kommer du ihåg att mamma fyller år imorgon? har du köpt blommorna än?;0;SMS
Tja, fortfarande på att ses vid 19?;0;SMS
Netflix: Din betalning misslyckades. Uppdatera dina kortuppgifter för att behålla ditt konto: https://www.google.com/search?q=netflix-support-se.com;1;SMS
Jag blir lite sen, missade bussen;1;SMS
Ämne: Återbäring från Skatteverket. Hej, vi har beslutat om en extra skatteåterbäring på 4500 kr. Klicka på länken och logga in med BankID för att få pengarna utbetalda direkt till ditt konto.;1;Email
Ämne: Ditt konto har blivit låst. Vi har upptäckt misstänkt aktivitet på ditt Netflix-konto. För din säkerhet har vi låst kontot. Klicka här för att verifiera din identitet och låsa upp.;1;Email
Ämne: Brådskande överföring. Hej, jag sitter i ett möte och kan inte prata. Kan du göra en snabb överföring till en leverantör åt mig? Det är bråttom. Jag skickar fakturan strax. /VD;1;Email
Ämne: Obetald faktura. Din faktura för domännamnet har förfallit. Om du inte betalar inom 24 timmar stängs din hemsida ner. Betala via denna länk.;1;Email 
Ämne: Du har vunnit ett presentkort! Grattis! Du är utvald att vinna ett presentkort på IKEA värt 10 000 kr. Svara på tre frågor för att hämta din vinst.;1;Email 
Ämne: Veckobrev v.42. Hej alla, här kommer anteckningarna från veckans möte. Vi ses igen på måndag! Trevlig helg.;0;Email 
Ämne: Bekräftelse på din bokning. Tack för att du bokade bord hos oss. Du är välkommen den 25:e oktober kl 19:00. Avbokning sker senast 24h innan.;0;Email 
Ämne: Inbjudan till utvecklingssamtal. Hej, det är dags för det årliga samtalet. Vänligen boka en tid i min kalender som passar dig.;0;Email 
Ämne: Nyhetsbrev. Missa inte vårens nyheter! Just nu har vi 20% rabatt på hela sortimentet. Gäller i butik och online.;0;Email 
Ämne: Ditt kvitto. Här kommer kvittot för din resa med Uber. Totalt belopp: 149 kr. Tack för att du åker med oss.;0;Email 
Ditt paket väntar. Bekräfta leverans via [länk] inom 24h för att undvika retur.;0;SMS
Missad leverans pga fel adress. Uppdatera uppgifter här: [länk];0;SMS
Swish: Ovanlig aktivitet på ditt konto. Bekräfta omedelbart här: [FAKE-LÄNK];1;SMS
Ditt paket stoppades i tullen. Betala avgift nu för leverans: [FAKE-LÄNK];1;SMS
Missad leverans. Bekräfta ny utkörning inom 2 timmar: [FAKE-LÄNK];1;SMS
Ditt konto har spärrats tillfälligt. Återställ tillgång: [FAKE-LÄNK];1;SMS
Obetald avgift registrerad. Betala innan påföljd tillkommer: [FAKE-LÄNK];1;SMS
Din prenumeration avslutas idag. Förnya nu: [FAKE-LÄNK];1;SMS
Betalning misslyckades. Uppdatera kortuppgifter omedelbart: [FAKE-LÄNK];1;SMS
Grattis! Du har vunnit ett presentkort. Hämta här: [FAKE-LÄNK];1;SMS
Sista chansen att lösa in din vinst idag: [FAKE-LÄNK];1;SMS
Ny säkerhetsvarning. Logga in för att undvika avstängning: [FAKE-LÄNK];1;SMS
Misstänkt inloggning från ny enhet. Bekräfta nu: [FAKE-LÄNK];1;SMS
Tvåstegsverifiering misslyckades. Bekräfta igen: [FAKE-LÄNK];1;SMS
Återbetalning väntar. Bekräfta mottagare: [FAKE-LÄNK];1;SMS
Din digitala post är oläst. Läs meddelande: [FAKE-LÄNK];1;SMS
Ditt ärende kräver omedelbar åtgärd: [FAKE-LÄNK];1;SMS
Lösenordet upphör idag. Uppdatera direkt: [FAKE-LÄNK];1;SMS
Kontot riskerar permanent stängning. Åtgärda nu: [FAKE-LÄNK];1;SMS
Ny faktura tillgänglig. Betala innan förfallodatum: [FAKE-LÄNK];1;SMS
Extra avgift tillkommer vid sen betalning. Betala här: [FAKE-LÄNK];1;SMS
Saldo under gräns. Uppdatera betalmetod: [FAKE-LÄNK];1;SMS
Nytt privat meddelande väntar. Läs här: [FAKE-LÄNK];1;SMS
Någon försökte nå dig. Se detaljer: [FAKE-LÄNK];1;SMS
Verifiera ditt konto för fortsatt användning: [FAKE-LÄNK];1;SMS
Oläst notifikation väntar. Öppna nu: [FAKE-LÄNK];1;SMS
HR: Dokument kräver signering idag: [FAKE-LÄNK];1;SMS
Löneinformation kunde inte levereras. Bekräfta konto: [FAKE-LÄNK];1;SMS
Åtkomst till system upphör. Verifiera anställning: [FAKE-LÄNK];1;SMS
Nytt kontrakt tillgängligt. Läs och godkänn: [FAKE-LÄNK];1;SMS
Schemaändring kräver bekräftelse: [FAKE-LÄNK];1;SMS
Nytt provsvar tillgängligt. Logga in säkert: [FAKE-LÄNK];1;SMS
Tidsbokning kräver bekräftelse idag: [FAKE-LÄNK];1;SMS
Meddelande från vården. Läs nu: [FAKE-LÄNK];1;SMS
Dina journaluppgifter behöver uppdateras: [FAKE-LÄNK];1;SMS
